buy-in date,sell-by date,shareholding,stock selection results,date of selection,whether stock selection date,position yield,index yield
2014-12-1,2014-12-31,吉林化纤(sz000420) 美锦能源(sz000723) 冀东装备(sz000856) 鼎泰新材(sz002352) 丽鹏股份(sz002374) 棒杰股份(sz002634) 康耐特(sz300061) 长城集团(sz300089) 鸿特精密(sz300176) 海联讯(sz300277) ,天目药业(sh600671) 冀东装备(sz000856) 九鼎新材(sz002201) 鼎泰新材(sz002352) 朗科科技(sz300042) 康耐特(sz300061) 长城集团(sz300089) 坚瑞消防(sz300116) 海联讯(sz300277) 科恒股份(sz300340) ,2014-11-28,TRUE,-0.14006671,0.258076345
2015-1-5,2015-1-30,天目药业(sh600671) 冀东装备(sz000856) 九鼎新材(sz002201) 鼎泰新材(sz002352) 朗科科技(sz300042) 康耐特(sz300061) 长城集团(sz300089) 坚瑞消防(sz300116) 海联讯(sz300277) 科恒股份(sz300340) ,林海股份(sh600099) 冀东装备(sz000856) 兰州黄河(sz000929) 湘潭电化(sz002125) 鼎泰新材(sz002352) 圣阳股份(sz002580) 朗科科技(sz300042) 华伍股份(sz300095) 晨光生物(sz300138) 科恒股份(sz300340) ,2014-12-31,TRUE,0.112340456,-0.028106438
2015-2-2,2015-2-27,林海股份(sh600099) 冀东装备(sz000856) 兰州黄河(sz000929) 湘潭电化(sz002125) 鼎泰新材(sz002352) 圣阳股份(sz002580) 朗科科技(sz300042) 华伍股份(sz300095) 晨光生物(sz300138) 科恒股份(sz300340) ,林海股份(sh600099) 天目药业(sh600671) 冀东装备(sz000856) 兰州黄河(sz000929) 湘潭电化(sz002125) 九鼎新材(sz002201) 鼎泰新材(sz002352) 晨光生物(sz300138) 海联讯(sz300277) 科恒股份(sz300340) ,2015-1-30,TRUE,0.089665384,0.040312836
2015-3-2,2015-3-31,林海股份(sh600099) 天目药业(sh600671) 冀东装备(sz000856) 兰州黄河(sz000929) 湘潭电化(sz002125) 九鼎新材(sz002201) 鼎泰新材(sz002352) 晨光生物(sz300138) 海联讯(sz300277) 科恒股份(sz300340) ,恒丰纸业(sh600356) 大洲兴业(sh600603) 鲁北化工(sh600727) 美锦能源(sz000723) 兰州黄河(sz000929) 国统股份(sz002205) 棒杰股份(sz002634) 百洋股份(sz002696) 宝德股份(sz300023) 红宇新材(sz300345) ,2015-2-27,TRUE,0.235919713,0.133887888
2015-4-1,2015-4-30,恒丰纸业(sh600356) 大洲兴业(sh600603) 鲁北化工(sh600727) 美锦能源(sz000723) 兰州黄河(sz000929) 国统股份(sz002205) 棒杰股份(sz002634) 百洋股份(sz002696) 宝德股份(sz300023) 红宇新材(sz300345) ,亚星客车(sh600213) 北矿磁材(sh600980) 松发股份(sh603268) 立霸股份(sh603519) 美欣达(sz002034) 长江润发(sz002435) 康耐特(sz300061) 万福生科(sz300268) 华虹计通(sz300330) 康跃科技(sz300391) ,2015-3-31,TRUE,0.19222344,0.172464949
2015-5-4,2015-5-29,亚星客车(sh600213) 北矿磁材(sh600980) 松发股份(sh603268) 立霸股份(sh603519) 美欣达(sz002034) 长江润发(sz002435) 康耐特(sz300061) 万福生科(sz300268) 华虹计通(sz300330) 康跃科技(sz300391) ,长春一东(sh600148) 大杨创世(sh600233) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 北矿磁材(sh600980) 湘潭电化(sz002125) 天津普林(sz002134) 安纳达(sz002136) 鼎泰新材(sz002352) 通达股份(sz002560) ,2015-4-30,TRUE,0.562056618,0.019145707
2015-6-1,2015-6-30,长春一东(sh600148) 大杨创世(sh600233) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 北矿磁材(sh600980) 湘潭电化(sz002125) 天津普林(sz002134) 安纳达(sz002136) 鼎泰新材(sz002352) 通达股份(sz002560) ,长春一东(sh600148) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 大洲兴业(sh600603) 湘潭电化(sz002125) 天津普林(sz002134) 华伍股份(sz300095) 亿通科技(sz300211) 华虹计通(sz300330) 科恒股份(sz300340) ,2015-5-29,TRUE,-0.17894421,-0.075984903
2015-7-1,2015-7-31,长春一东(sh600148) 恒丰纸业(sh600356) 惠泉啤酒(sh600573) 大洲兴业(sh600603) 湘潭电化(sz002125) 天津普林(sz002134) 华伍股份(sz300095) 亿通科技(sz300211) 华虹计通(sz300330) 科恒股份(sz300340) ,惠泉啤酒(sh600573) 湖南海利(sh600731) 湘潭电化(sz002125) 天津普林(sz002134) 安纳达(sz002136) 通润装备(sz002150) 鼎泰新材(sz002352) 棒杰股份(sz002634) 高盟新材(sz300200) 亿通科技(sz300211) ,2015-6-30,TRUE,-0.17025888,-0.146724793
2015-8-3,2015-8-31,惠泉啤酒(sh600573) 湖南海利(sh600731) 湘潭电化(sz002125) 天津普林(sz002134) 安纳达(sz002136) 通润装备(sz002150) 鼎泰新材(sz002352) 棒杰股份(sz002634) 高盟新材(sz300200) 亿通科技(sz300211) ,维科精华(sh600152) 大杨创世(sh600233) 北矿磁材(sh600980) 联明股份(sh603006) 通润装备(sz002150) 高盟新材(sz300200) 万福生科(sz300268) 同大股份(sz300321) 华虹计通(sz300330) 科隆精化(sz300405) ,2015-7-31,TRUE,-0.08101031,-0.117944821
2015-9-1,2015-9-30,维科精华(sh600152) 大杨创世(sh600233) 北矿磁材(sh600980) 联明股份(sh603006) 通润装备(sz002150) 高盟新材(sz300200) 万福生科(sz300268) 同大股份(sz300321) 华虹计通(sz300330) 科隆精化(sz300405) ,维科精华(sh600152) 大杨创世(sh600233) 联明股份(sh603006) 河池化工(sz000953) 湘潭电化(sz002125) 跃岭股份(sz002725) 万福生科(sz300268) 同大股份(sz300321) 华虹计通(sz300330) 富邦股份(sz300387) ,2015-8-31,TRUE,0.041243972,-0.048592917
